degree,scalar_time_min,scalar_time_mean,scalar_time_std,avx2_time_min,avx2_time_mean,avx2_time_std,speedup
127,0.000026,0.000032,0.000006,0.000003,0.000005,0.000001,8.666667
255,0.000115,0.000116,0.000007,0.000015,0.000015,0.000001,7.666667
511,0.000600,0.000600,0.000000,0.000079,0.000079,0.000001,7.594937
1023,0.000661,0.002206,0.000515,0.000090,0.000308,0.000072,7.344444
2047,0.002769,0.004021,0.001651,0.000379,0.000540,0.000188,7.306069
4095,0.009484,0.010103,0.001693,0.001317,0.001342,0.000071,7.201215
8191,0.037714,0.037903,0.000158,0.005269,0.005288,0.000023,7.157715
16383,0.150976,0.151371,0.000479,0.021040,0.021096,0.000075,7.175665
32767,0.603673,0.605339,0.001075,0.084104,0.084419,0.000251,7.177697
65535,2.419594,2.422118,0.001887,0.336924,0.337392,0.000350,7.181424
131071,9.686520,9.688527,0.001878,1.351458,1.352757,0.001457,7.167459
